product_name,supplier_name,total_packs_ordered,pack_size,pack_price,PO_cost,total_packs_received,receipt_pack_price,received_cost,upc,store_id,store_name,product_id,restock_order_id,is_out_of_stock,out_of_stock_reason
Olipop Sparkling Tonic - Strawberry Vanilla - 12.0 fl. oz,KeHE,3,12,24.12,72.36,,,,860439001012,3,UCSB,3551,13791,false,
Nuggs Plant Based Nuggets - Spicy - 10.4 oz,KeHE,1,8,52.96,52.96,,,,108500154370,3,UCSB,2858,13791,false,
Chino Valley Eggs - Brown - 6.0 count,KeHE,1,12,24.84,24.84,,,,095437112112,3,UCSB,2387,13791,false,
Drops Of Dough Ice Cream Sandwich (7) - Chocolate Chip Cookie With Vanilla Ice Cream - 7.0 count,KeHE,1,6,105.12,105.12,,,,182903846787,3,UCSB,7097,13791,false,
Kettle Brand Chips - Krinkle Cut Salt & Pepper Potato Chips - 5.0 oz,KeHE,1,12,41.52,41.52,,,,084114107077,3,UCSB,2964,13791,false,
La Croix Sparkling Water - Hibiscus - 12.0 fl. oz,KeHE,1,24,12.72,12.72,,,,012993112097,3,UCSB,2408,13791,false,
Ito En Japanese Jasmine Green Tea - Unsweetened - 16.9 fl. oz,KeHE,1,12,26.04,26.04,,,,835143001795,3,UCSB,1809,13791,false,
Lesser Evil Popcorn - Himalayan Sweet - 6.4 oz,KeHE,1,12,41.16,41.16,,,,180999001025,3,UCSB,3147,13791,false,
Chomps Grass Fed Beef Jerky - Original - 1.0 count,KeHE,1,24,24.48,24.48,,,,,3,UCSB,6132,13791,false,
Olipop Sparkling Tonic - Orange Squeeze - 12.0 fl. oz,KeHE,1,12,24.12,24.12,,,,860439001081,3,UCSB,3154,13791,false,
Halo Top - Mint Chip - 16.0 oz,KeHE,1,8,40.08,40.08,,,,858089003104,3,UCSB,1135,13791,false,
Hippeas Chickpea Puffs - Vegan White Cheddar - 0.8 oz,KeHE,1,6,70.56,70.56,,,,810122080152,3,UCSB,7212,13791,false,
Olipop Sparkling Tonic - Cherry Vanilla - 12.0 fl. oz,KeHE,1,12,24.24,24.24,,,,860003223307,3,UCSB,2405,13791,false,
Health-ade Kombucha - Pomegranate - 16.0 fl. oz,KeHE,1,6,39.72,39.72,,,,851861006119,3,UCSB,83,13791,false,
Halo Top - Peanut Butter Cup - 16.0 oz,KeHE,1,8,40.08,40.08,,,,858089003227,3,UCSB,1946,13791,false,
Oatly Oat Milk - The Original - 64.0 fl. oz,KeHE,1,6,28.74,28.74,,,,190646641016,3,UCSB,2043,13791,false,
Olipop Sparkling Tonic - Vintage Cola - 12.0 oz,KeHE,1,12,24.12,24.12,,,,860439001005,3,UCSB,2525,13791,false,
My/mo Mochi Ice Cream - Sweet Mango - 7.5 oz,KeHE,1,12,61.44,61.44,,,,070934996014,3,UCSB,1063,13791,false,
Skinny Pop Popcorn - Original - 4.4 oz,KeHE,1,12,47.16,47.16,,,,850251004001,3,UCSB,1349,13791,false,
Yummy Chicken Nuggets - Dino Buddies - 21.0 oz,KeHE,2,6,46.44,92.88,,,,064563226932,3,UCSB,3524,13791,false,
Kettle Potato Chips - Parmesan Garlic - 5.0 oz,KeHE,1,15,51.9,51.9,,,,084114901200,3,UCSB,6780,13791,false,
Vita Coco - Coconut Water - 33.8 fl. oz,KeHE,2,12,58.56,117.12,,,,,3,UCSB,7514,13791,false,
Tru Fru - Dark Chocolate Raspberries - 5.0 oz,KeHE,3,8,41.92,125.76,,,,850012116999,3,UCSB,7582,13791,false,
La Colombe Coffee - Draft Latte Triple Shot - 9.0 fl. oz,KeHE,2,12,34.68,69.36,,,,604913000203,3,UCSB,1831,13791,false,
Talenti Dairy Free Sorbetto - Alphonso Mango - 16.0 oz,KeHE,1,8,46.48,46.48,,,,186852000846,3,UCSB,695,13791,false,
Angie's Boomchickapop Kettle Corn - Light - 5.0 oz,KeHE,1,12,42.72,42.72,,,,892773000697,3,UCSB,1947,13791,false,
Sweet Loren's Vegan Cookie Dough - Chocolate Chunk - 12.0 oz,KeHE,1,6,37.5,37.5,,,,860485000182,3,UCSB,2303,13791,false,
Angie's Boomchickapop Popcorn - Sea Salt - 4.8 oz,KeHE,1,12,38.4,38.4,,,,,3,UCSB,401,13791,false,
Dream Pops - Cookie Dough Bites - 4.0 oz,KeHE,1,12,54.6,54.6,,,,854097008322,3,UCSB,4141,13791,false,
Annie's Macaroni & Cheese - Shells & Real Aged Cheddar - 6.0 oz,KeHE,1,12,34.08,34.08,,,,013562300846,3,UCSB,1610,13791,false,
